CODIGO_ENTIDAD,NOMBRE,TIPO_GESTION,ESTADO_LICENCIAMIENTO,FECHA_INICIO_LICENCIAMIENTO,FECHA_FIN_LICENCIAMIENTO,PERIODO_LICENCIAMIENTO,DEPARTAMENTO,PROVINCIA,DISTRITO,UBIGEO,LATITUD,LONGITUD,FECHA_CORTE
147,UNIVERSIDAD SEMINARIO EVANG�LICO DE LIMA,PRIVADO,LICENCIA DENEGADA,,,0,LIMA,LIMA,LA MOLINA,140110,-12.0638224,-76.9601327,20230601
148,UNIVERSIDAD SEMINARIO B�BLICO ANDINO,PRIVADO,LICENCIA DENEGADA,,,0,LIMA,LIMA,PUEBLO LIBRE,140117,-12.0696208,-77.0533978,20230601
003,UNIVERSIDAD NACIONAL DE SAN ANTONIO ABAD DEL CUSCO,P�BLICO,LICENCIA OTORGADA,20190507,20270507,8,CUSCO,CUSCO,CUSCO,070101,-13.52193,-71.9583208,20230601
009,UNIVERSIDAD NACIONAL SAN LUIS GONZAGA DE ICA,P�BLICO,LICENCIA OTORGADA,20220114,20280114,6,ICA,ICA,ICA,100101,-14.0871322,-75.7335148,20230601
010,UNIVERSIDAD NACIONAL DEL CENTRO DEL PER�,P�BLICO,LICENCIA OTORGADA,20190304,20250304,6,JUN�N,HUANCAYO,EL TAMBO,110113,-12.03251125,-75.23588361,20230601
013,UNIVERSIDAD NACIONAL DE PIURA,P�BLICO,LICENCIA OTORGADA,20190508,20250508,6,PIURA,PIURA,CASTILLA,190103,-5.179311,-80.6188325,20230601
021,UNIVERSIDAD NACIONAL FEDERICO VILLARREAL,P�BLICO,LICENCIA OTORGADA,20200311,20260311,6,LIMA,LIMA,LIMA,140101,-12.0475424,-77.0405694,20230601
022,UNIVERSIDAD NACIONAL AGRARIA DE LA SELVA,P�BLICO,LICENCIA OTORGADA,20190902,20250902,6,HU�NUCO,LEONCIO PRADO,RUPA-RUPA,090601,-9.314010213,-75.99662598,20230601
023,UNIVERSIDAD NACIONAL HERMILIO VALDIZ�N DE HU�NUCO,P�BLICO,LICENCIA OTORGADA,20190731,20250731,6,HU�NUCO,HU�NUCO,PILLCO MARCA,090111,-9.949638156,-76.25011821,20230601
024,UNIVERSIDAD INCA GARCILASO DE LA VEGA ASOCIACI�N CIVIL,PRIVADO,LICENCIA DENEGADA,,,0,LIMA,LIMA,LINCE,140111,-12.0828451,-77.0345819,20230601
